field[T],exp,pyd,dopa
6.38735,0.00063445,4.707117E-20,0.0008114835
6.38745,-0.00894,-6.324933E-18,0.0008114835
6.38755,0.000783687,1.062001E-17,0.0008114835
6.38765,-0.00706,1.493077E-17,0.0008114835
6.38775,-0.00285,8.527386E-18,0.0008114835
6.38785,-0.00505,4.342145E-18,0.0008114835
6.38795,-0.00166,1.069846E-17,0.0008114835
6.38805,-0.00447,6.356314E-18,0.0008114835
6.38815,-0.0061,4.342145E-18,0.0008114835
6.38825,-0.0014,1.919446E-17,0.0008114835
6.38835,-0.000320662,1.496215E-17,0.0008114835
6.38845,-0.00242,1.499353E-17,0.0008114835
6.38855,0.000117098,2.133416E-17,0.0008114835
6.38865,-0.00151,1.502491E-17,0.0008114835
6.38875,0.000375774,1.283815E-17,0.0008114835
6.38885,-0.00403,2.347385E-17,0.0008114835
6.38895,-0.00562,1.496215E-17,0.0008114835
6.38905,-0.00522,2.347385E-17,0.0008114835
6.38915,-0.00249,1.704693E-17,0.0008114835
6.38925,0.00165,1.2846E-17,0.0008114835
6.38935,0.00182,2.132631E-17,0.0008114835
6.38945,-0.00612,1.701555E-17,0.0008114835
6.38955,-0.00714,1.279108E-17,0.0008114835
6.38965,0.00317,2.178918E-18,0.0008114835
6.38975,0.00267,-2.045549E-18,0.0008114835
6.38985,-0.00382,4.326455E-18,0.0008114835
6.38995,0.000833432,4.263693E-18,0.0008114835
6.39005,-0.00347,3.138078E-20,0.0008803109
6.39015,0.00042552,4.295074E-18,0.00101166
6.39025,-0.00131,4.310764E-18,0.001133946
6.39035,0.00435,4.255848E-18,0.001243461
6.39045,0.00239,1.065923E-17,0.001338232
6.39055,0.00359,2.131847E-18,0.001418011
6.39065,0.00185,-2.124001E-18,0.001483956
6.39075,-0.00137,2.155382E-18,0.001538158
6.39085,0.000863279,2.092621E-18,0.001583127
6.39095,0.00299,-1.569039E-20,0.001621365
6.39105,-0.00262,1.569039E-20,0.001655072
6.39115,-0.00102,4.707117E-20,0.001686006
6.39125,0.00256,-1.484447E-17,0.001715465
6.39135,-0.00116,-6.379849E-18,0.00174434
6.39145,0.01097,2.139692E-18,0.001773207
6.39155,0.0065,4.271538E-18,0.001802421
6.39165,0.00171,-4.248003E-18,0.001832193
6.39175,0.00176,-4.263693E-18,0.001862647
6.39185,0.0054,-6.356314E-18,0.00189386
6.39195,-0.00165,-1.060432E-17,0.001925885
6.39205,0.00426,-2.092621E-18,0.001958763
6.39215,0.0017,-2.084775E-18,0.001992529
6.39225,0.00268,-4.224467E-18,0.002027221
6.39235,0.00924,2.139692E-18,0.002062873
6.39245,0.0029,4.263693E-18,0.002099523
6.39255,0.00482,-2.131847E-18,0.002137211
6.39265,0.00524,-1.274401E-17,0.002175978
6.39275,0.01077,-7.845195E-21,0.002215867
6.39285,0.00991,-2.108311E-18,0.002256923
6.39295,0.00665,6.403385E-18,0.002299195
6.39305,0.00559,-6.332778E-18,0.002342733
6.39315,0.00445,-2.100466E-18,0.00238759
6.39325,0.00521,-8.47247E-18,0.002433822
6.39335,0.0081,-4.216622E-18,0.002481489
6.39345,0.00428,-4.248003E-18,0.002530653
6.39355,0.00731,-6.403385E-18,0.00258138
6.39365,0.00447,-4.185241E-18,0.002633741
6.39375,0.00413,6.466146E-18,0.002687809
6.39385,0.0038,2.308043E-16,0.002743663
6.39395,0.0093,2.321085E-15,0.002801386
6.39405,0.00885,2.00385E-14,0.002861067
6.39415,0.0123,1.485471E-13,0.002922799
6.39425,0.01123,9.501315E-13,0.002986681
6.39435,0.00795,5.256382E-12,0.00305282
6.39445,0.00521,2.520452E-11,0.003121329
6.39455,0.00225,1.05028E-10,0.003192327
6.39465,0.00702,3.816617E-10,0.003265944
6.39475,0.0102,0.000000001215004,0.003342315
6.39485,0.01262,0.000000003408527,0.003421588
6.39495,0.00311,0.000000008490063,0.003503919
6.39505,0.00489,0.0000000189522,0.003589476
6.39515,0.00671,0.00000003833855,0.003678438
6.39525,0.00376,0.00000007116501,0.003770999
6.39535,0.00332,0.0000001228042,0.003867366
6.39545,0.00248,0.0000001994599,0.003967763
6.39555,0.00621,0.0000003081757,0.00407243
6.39565,0.01096,0.0000004566682,0.004181627
6.39575,0.00737,0.0000006528276,0.004295636
6.39585,0.00596,0.0000009038811,0.00441476
6.39595,0.00338,0.000001215292,0.004539328
6.39605,0.00193,0.000001589646,0.004669697
6.39615,0.0031,0.000002026235,0.004806258
6.39625,0.00686,0.00000252236,0.004949433
6.39635,0.01077,0.000003076631,0.005099684
6.39645,0.00263,0.000003692958,0.005257517
6.39655,0.01515,0.000004382872,0.005423487
6.39665,0.01268,0.000005164561,0.0055982
6.39675,0.01107,0.000006058883,0.005782326
6.39685,0.00896,0.000007083957,0.005976603
6.39695,0.01204,0.00000825023,0.006181847
6.39705,0.0129,0.000009557613,0.006398962
6.39715,0.0136,0.00001099596,0.006628955
6.39725,0.01061,0.00001254913,0.006872945
6.39735,0.01089,0.00001420098,0.007132188
6.39745,0.01729,0.00001594024,0.007408089
6.39755,0.0156,0.00001776222,0.007702235
6.39765,0.0113,0.00001966755,0.008016416
6.39775,0.01384,0.00002165945,0.008352668
6.39785,0.0158,0.00002374017,0.008713309
6.39795,0.01782,0.00002590665,0.009101
6.39805,0.01864,0.00002814653,0.009518806
6.39815,0.01445,0.0000304368,0.009970279
6.39825,0.02397,0.00003274667,0.01045957
6.39835,0.02121,0.00003504363,0.01099155
6.39845,0.0236,0.00003729919,0.01157201
6.39855,0.0197,0.00003949133,0.0122079
6.39865,0.02487,0.00004160318,0.01290763
6.39875,0.02589,0.00004361971,0.01368159
6.39885,0.03153,0.00004552521,0.01454281
6.39895,0.0308,0.00004730359,0.01550806
6.39905,0.02808,0.0000489411,0.01659947
6.39915,0.02949,0.00005042906,0.01784719
6.39925,0.03491,0.00005176316,0.01929356
6.39935,0.04652,0.00005293904,0.02099968
6.39945,0.05088,0.00005394791,0.02305534
6.39955,0.05493,0.00005477729,0.02559358
6.39965,0.06835,0.00005541706,0.02881055
6.39975,0.08422,0.00005586539,0.03299066
6.39985,0.08908,0.00005612867,0.03853497
6.39995,0.10688,0.00005621612,0.04598797
6.40005,0.12056,0.00005613589,0.05605439
6.40015,0.13899,0.0000558972,0.06959497
6.40025,0.16492,0.00005551553,0.08758913
6.40035,0.18819,0.00005501373,0.1110558
6.40045,0.2133,0.00005441715,0.1409316
6.40055,0.24681,0.00005374721,0.1779179
6.40065,0.28883,0.0000530185,0.2223231
6.40075,0.33286,0.00005223932,0.273934
6.40085,0.36083,0.00005141262,0.3319564
6.40095,0.4302,0.00005053562,0.3950499
6.40105,0.4791,0.00004959951,0.4614657
6.40115,0.53449,0.0000485911,0.5292648
6.40125,0.5794,0.00004749766,0.5965746
6.40135,0.63391,0.0000463148,0.6618259
6.40145,0.67504,0.00004505391,0.7239164
6.40155,0.72849,0.00004374264,0.782264
6.40165,0.76927,0.00004241493,0.836742
6.40175,0.81117,0.00004109576,0.8875136
6.40185,0.84378,0.00003979162,0.9348104
6.40195,0.8823,0.00003849305,0.978707
6.40205,0.91455,0.00003718574,1.018947
6.40215,0.93515,0.00003586149,1.054864
6.40225,0.96379,0.00003452338,1.085416
6.40235,0.98438,0.0000331847,1.109336
6.40245,0.99526,0.0000318642,1.125361
6.40255,1,0.00003058004,1.132495
6.40265,0.996,0.00002934544,1.130237
6.40275,0.99763,0.00002816726,1.118733
6.40285,0.99228,0.0000270472,1.098798
6.40295,0.97875,0.00002598368,1.071822
6.40305,0.95224,0.00002497346,1.039583
6.40315,0.9382,0.00002401276,1.004007
6.40325,0.91371,0.00002309839,0.9669367
6.40335,0.88819,0.0000222291,0.9299475
6.40345,0.86364,0.00002140786,0.894244
6.40355,0.83996,0.00002064643,0.860629
6.40365,0.81534,0.00001997417,0.8295375
6.40375,0.79523,0.00001945667,0.8011101
6.40385,0.77508,0.0000192443,0.7752798
6.40395,0.75473,0.00001971507,0.7518545
6.40405,0.74976,0.0000218592,0.7305831
6.40415,0.73138,0.00002813011,0.7112015
6.40425,0.71867,0.00004391189,0.6934603
6.40435,0.70196,0.00007935326,0.6771383
6.40445,0.70006,0.0001506764,0.6620462
6.40455,0.69403,0.0002797689,0.6480254
6.40465,0.68784,0.0004915943,0.634944
6.40475,0.68805,0.000810494,0.6226922
6.40485,0.68752,0.00125736,0.6111785
6.40495,0.6774,0.001848696,0.6003257
6.40505,0.68102,0.00259653,0.5900681
6.40515,0.6831,0.003507488,0.5803494
6.40525,0.69102,0.004581143,0.5711211
6.40535,0.69001,0.005810042,0.5623408
6.40545,0.69417,0.007183176,0.5539715
6.40555,0.69055,0.008691476,0.5459804
6.40565,0.70048,0.01033182,0.5383385
6.40575,0.69696,0.01210751,0.53102
6.40585,0.69656,0.014026,0.5240019
6.40595,0.69862,0.01609602,0.5172633
6.40605,0.69672,0.01832537,0.5107856
6.40615,0.6896,0.02072035,0.5045517
6.40625,0.68603,0.02328651,0.4985462
6.40635,0.6799,0.02602929,0.492755
