field[T],exp,pyd,dopa
6.3882,0.00436,1.035423E-17,0.0007855538
6.3883,0.000853552,1.527064E-17,0.0007855538
6.3884,0.00123,1.335702E-17,0.0007855538
6.3885,0.00112,1.61385E-17,0.0007855538
6.3886,0.00383,1.627241E-17,0.0007855538
6.3887,0.00266,1.244494E-17,0.0007855538
6.3888,0.00242,1.609079E-17,0.0007855538
6.3889,0.00283,1.72194E-17,0.0007855538
6.389,0.000719515,1.705802E-17,0.0007855538
6.3891,0.000125277,1.812924E-17,0.0007855538
6.3892,-0.000341592,1.336915E-17,0.0007855538
6.3893,0.00134,1.515712E-17,0.0007855538
6.3894,0.00487,1.71376E-17,0.0007855538
6.3895,0.000227676,1.33309E-17,0.0007855538
6.3896,0.00356,6.775761E-18,0.0007855538
6.3897,0.00102,9.951674E-20,0.0007855538
6.3898,0.0062,9.566555E-19,0.0007855538
6.3899,0.00326,3.830963E-18,0.0007855538
6.39,0.00183,1.955306E-18,0.0007855538
6.3901,0.000188702,1.888758E-18,0.0009160361
6.3902,0.00177,3.837216E-18,0.001039997
6.3903,0.0017,3.820394E-18,0.001153026
6.3904,0.00432,6.589968E-18,0.001252319
6.3905,0.00203,5.784413E-18,0.001336827
6.3906,0.00209,4.384315E-20,0.001407081
6.3907,0.00258,-2.65753E-20,0.00146477
6.3908,0.00568,1.89479E-18,0.001512238
6.3909,0.005,9.460949E-19,0.001551999
6.391,0.00513,-2.974863E-22,0.001586384
6.3911,0.00161,2.768805E-20,0.001617331
6.3912,0.00501,-6.457029E-18,0.001646318
6.3913,0.00358,-9.544222E-18,0.001674386
6.3914,0.00663,-1.971461E-18,0.001702227
6.3915,0.00476,2.838574E-18,0.001730271
6.3916,0.00408,9.125886E-20,0.001758778
6.3917,0.00409,-3.795238E-18,0.001787899
6.3918,0.00476,-4.71565E-18,0.001817725
6.3919,0.002,-7.522517E-18,0.001848315
6.392,0.00495,-5.742286E-18,0.001879711
6.3921,0.00913,-1.862786E-18,0.00191195
6.3922,0.00629,-2.793023E-18,0.001945067
6.3923,0.00512,-9.899381E-19,0.001979097
6.3924,0.0077,2.83515E-18,0.002014073
6.3925,0.00436,1.011225E-18,0.002050034
6.3926,0.0039,-6.532579E-18,0.002087019
6.3927,0.00736,-5.806821E-18,0.002125068
6.3928,0.00477,-9.236871E-19,0.002164224
6.3929,0.00582,1.834494E-18,0.002204532
6.393,0.00507,1.522211E-19,0.002246041
6.3931,0.00754,-3.800526E-18,0.002288799
6.3932,0.00845,-4.654093E-18,0.00233286
6.3933,0.00634,-5.698443E-18,0.00237828
6.3934,0.00474,-3.7741E-18,0.002425117
6.3935,0.00833,-4.729048E-18,0.002473435
6.3936,0.00575,-4.742523E-18,0.002523298
6.3937,0.00459,9.160874E-19,0.002574776
6.3938,0.00699,1.036728E-16,0.002627943
6.3939,0.00289,1.118078E-15,0.002682877
6.394,0.00687,9.802236E-15,0.002739661
6.3941,0.00694,7.395448E-14,0.002798383
6.3942,0.00708,4.823046E-13,0.002859136
6.3943,0.00934,2.726677E-12,0.00292202
6.3944,0.00475,1.339349E-11,0.00298714
6.3945,0.00842,5.73143E-11,0.003054609
6.3946,0.00618,2.143937E-10,0.003124547
6.3947,0.0047,7.040574E-10,0.003197082
6.3948,0.00851,0.00000000204085,0.003272351
6.3949,0.00873,0.000000005257439,0.003350501
6.395,0.0082,0.00000001213739,0.003431687
6.3951,0.00711,0.00000002536231,0.003516078
6.3952,0.0095,0.00000004851673,0.003603854
6.3953,0.0043,0.00000008600184,0.003695208
6.3954,0.00416,0.0000001429717,0.003790349
6.3955,0.00619,0.0000002253254,0.003889501
6.3956,0.00397,0.0000003396381,0.003992904
6.3957,0.00623,0.0000004928674,0.004100821
6.3958,0.00689,0.0000006917604,0.004213534
6.3959,0.00802,0.0000009419925,0.004331347
6.396,0.00346,0.00000124718,0.004454593
6.3961,0.00455,0.000001608192,0.004583632
6.3962,0.00572,0.000002023527,0.004718855
6.3963,0.00681,0.000002491349,0.004860691
6.3964,0.006,0.000003012734,0.005009606
6.3965,0.00885,0.000003594492,0.00516611
6.3966,0.00902,0.000004249814,0.005330764
6.3967,0.00953,0.000004996084,0.005504184
6.3968,0.00969,0.000005850708,0.005687049
6.3969,0.00859,0.000006826496,0.005880106
6.397,0.00484,0.000007928168,0.006084186
6.3971,0.0072,0.000009151254,0.006300208
6.3972,0.00902,0.00001048409,0.006529197
6.3973,0.00799,0.00001191228,0.006772296
6.3974,0.00991,0.00001342356,0.007030787
6.3975,0.01193,0.00001501074,0.00730611
6.3976,0.00946,0.00001667196,0.007599888
6.3977,0.01298,0.00001840893,0.007913962
6.3978,0.00865,0.00002022408,0.008250426
6.3979,0.01057,0.0000221171,0.008611671
6.398,0.00825,0.00002408122,0.009000447
6.3981,0.00914,0.00002610075,0.009419929
6.3982,0.00949,0.00002815177,0.00987381
