field[T],exp,pyd,dopa
6.3872,-0.000512416,7.465174E-20,0.0008107381
6.3873,-0.000297045,7.465174E-20,0.0008107381
6.3874,-0.000295609,-4.870713E-18,0.0008107381
6.3875,-0.000787229,3.120185E-18,0.0008107381
6.3876,-0.00176,2.018824E-17,0.0008107381
6.3877,-0.00683,1.870949E-17,0.0008107381
6.3878,-0.00518,1.027567E-17,0.0008107381
6.3879,-0.00449,1.181954E-17,0.0008107381
6.388,-0.00713,1.359707E-17,0.0008107381
6.3881,-0.00816,8.517477E-18,0.0008107381
6.3882,-0.00742,1.841336E-17,0.0008107381
6.3883,-0.00759,2.715641E-17,0.0008107381
6.3884,-0.00949,2.375333E-17,0.0008107381
6.3885,-0.00543,2.869975E-17,0.0008107381
6.3886,-0.00504,2.893789E-17,0.0008107381
6.3887,-0.00198,2.213135E-17,0.0008107381
6.3888,-0.00853,2.86149E-17,0.0008107381
6.3889,-0.00582,3.062196E-17,0.0008107381
6.389,-0.00517,3.033497E-17,0.0008107381
6.3891,0.00429,3.223997E-17,0.0008107381
6.3892,-0.00379,2.377491E-17,0.0008107381
6.3893,-0.00801,2.695453E-17,0.0008107381
6.3894,-0.00938,3.047649E-17,0.0008107381
6.3895,-0.000806112,2.370688E-17,0.0008107381
6.3896,0.00142,1.204961E-17,0.0008107381
6.3897,0.00104,1.769747E-19,0.0008107381
6.3898,0.000521946,1.70126E-18,0.0008107381
6.3899,-0.00316,6.812759E-18,0.0008107381
6.39,-0.00038348,3.477201E-18,0.0008107381
6.3901,0.000243967,3.358855E-18,0.0009454036
6.3902,0.00206,6.823878E-18,0.001073338
6.3903,-0.00296,6.793963E-18,0.001189991
6.3904,-0.00259,1.171921E-17,0.001292467
6.3905,-0.00184,1.028666E-17,0.001379685
6.3906,0.00115,7.796807E-20,0.001452191
6.3907,-0.00348,-4.725995E-20,0.00151173
6.3908,-0.00356,3.369582E-18,0.001560719
6.3909,-0.000302427,1.682479E-18,0.001601755
6.391,0.00351,-5.29032E-22,0.001637243
6.3911,-0.00256,4.923879E-20,0.001669182
6.3912,-0.00396,-1.14828E-17,0.001699097
6.3913,-0.00338,-1.697288E-17,0.001728066
6.3914,0.00202,-3.50593E-18,0.001756799
6.3915,-0.000153177,5.047952E-18,0.001785742
6.3916,0.00257,1.622894E-19,0.001815163
6.3917,0.000380656,-6.749226E-18,0.001845218
6.3918,0.00389,-8.386033E-18,0.001876
6.3919,0.0025,-1.33776E-17,0.00190757
6.392,0.000143816,-1.021174E-17,0.001939973
6.3921,-0.0031,-3.312668E-18,0.001973246
6.3922,0.00217,-4.966947E-18,0.002007425
6.3923,0.00322,-1.760447E-18,0.002042545
6.3924,0.00133,5.041863E-18,0.002078643
6.3925,0.000914776,1.798302E-18,0.002115757
6.3926,0.00582,-1.161715E-17,0.002153928
6.3927,0.00278,-1.032651E-17,0.002193196
6.3928,0.000600386,-1.642631E-18,0.002233608
6.3929,-0.00111,3.262356E-18,0.002275208
6.393,0.00574,2.70701E-19,0.002318047
6.3931,0.00724,-6.758631E-18,0.002362176
6.3932,0.00912,-8.276563E-18,0.00240765
6.3933,-0.000440884,-1.013377E-17,0.002454526
6.3934,-0.000724994,-6.711636E-18,0.002502865
6.3935,-0.00394,-8.409859E-18,0.002552731
6.3936,0.00301,-8.433822E-18,0.002604193
6.3937,0.00183,1.629116E-18,0.002657321
6.3938,0.00224,1.843655E-16,0.002712193
6.3939,0.00112,1.988324E-15,0.002768888
6.394,0.00466,1.743172E-14,0.002827492
6.3941,0.01026,1.315163E-13,0.002888097
6.3942,0.01032,8.577019E-13,0.002950798
6.3943,0.01152,4.848961E-12,0.003015698
6.3944,0.00965,2.381818E-11,0.003082906
6.3945,0.00828,1.019244E-10,0.003152538
6.3946,0.01037,3.812651E-10,0.003224718
6.3947,0.01128,0.000000001252054,0.003299579
6.3948,0.00774,0.000000003629327,0.003377261
6.3949,0.00141,0.000000009349518,0.003457916
6.395,0.00334,0.00000002158442,0.003541705
6.3951,0.00532,0.00000004510283,0.003628801
6.3952,0.00312,0.00000008627927,0.003719391
6.3953,0.0000667885,0.0000001529406,0.003813674
6.3954,-0.005,0.0000002542524,0.003911865
6.3955,-0.00361,0.0000004007054,0.004014195
6.3956,-0.00273,0.0000006039923,0.004120914
6.3957,0.00327,0.0000008764862,0.004232291
6.3958,0.000730891,0.000001230186,0.004348617
6.3959,-0.000605169,0.000001675184,0.004470207
6.396,0.00179,0.000002217911,0.004597405
6.3961,0.00587,0.000002859913,0.00473058
6.3962,0.00365,0.00000359852,0.004870139
6.3963,-0.000340409,0.000004430468,0.005016522
6.3964,0.00166,0.000005357668,0.00517021
6.3965,0.00398,0.000006392233,0.005331732
6.3966,0.00291,0.000007557618,0.005501665
6.3967,0.00376,0.00000888474,0.005680645
6.3968,-0.00101,0.00001040455,0.005869372
6.3969,-0.00443,0.00001213984,0.006068619
