field[T],exp,pyd,dopa
6.38472,0,1.793852E-20,0.0007657633
6.38482,-0.001325071,1.793852E-20,0.0007657633
6.38492,-0.001911506,1.793852E-20,0.0007657633
6.38502,-0.0107092,1.793852E-20,0.0007657633
6.38512,0.00237194,1.793852E-20,0.0007657633
6.38522,-0.003840676,1.793852E-20,0.0007657633
6.38532,-0.006223803,1.793852E-20,0.0007657633
6.38542,-0.005554349,1.793852E-20,0.0007657633
6.38552,-0.002944538,1.793852E-20,0.0007657633
6.38562,0.004581962,1.793852E-20,0.0007657633
6.38572,0.002347211,1.793852E-20,0.0007657633
6.38582,0.003065828,1.793852E-20,0.0007657633
6.38592,0.0002493525,1.793852E-20,0.0007657633
6.38602,-0.003007538,1.793852E-20,0.0007657633
6.38612,0.001558821,1.793852E-20,0.0007657633
6.38622,0.001412801,1.793852E-20,0.0007657633
6.38632,-0.001329782,1.793852E-20,0.0007657633
6.38642,-0.001511718,1.793852E-20,0.0007657633
6.38652,-0.001340969,1.793852E-20,0.0007657633
6.38662,-0.001927109,1.793852E-20,0.0007657633
6.38672,0.002144961,1.793852E-20,0.0007657633
6.38682,0.00111193,1.793852E-20,0.0007657633
6.38692,0.00313089,1.793852E-20,0.0007657633
6.38702,0.004806585,1.793852E-20,0.0007657633
6.38712,0.003807115,1.793852E-20,0.0007657633
6.38722,0.004505714,1.793852E-20,0.0007657633
6.38732,0.004056467,1.793852E-20,0.0007657633
6.38742,0.004766253,-1.740853E-18,0.0007657633
6.38752,0.004957021,2.27964E-18,0.0007657633
6.38762,-0.004689711,5.241996E-18,0.0007657633
6.38772,-0.001462259,3.910368E-18,0.0007657633
6.38782,0.002030442,2.083364E-18,0.0007657633
6.38792,-0.00187559,3.428603E-18,0.0007657633
6.38802,0.004739169,2.862055E-18,0.0007657633
6.38812,0.006585319,1.857192E-18,0.0007657633
6.38822,0.001967441,5.82786E-18,0.0007657633
6.38832,0.008869824,6.122498E-18,0.0007657633
