# field[T]	exp	pyd	dopa
6.38820	4.360000E-03	1.035423E-17	7.855538E-04
6.38830	8.535520E-04	1.527064E-17	7.855538E-04
6.38840	1.230000E-03	1.335702E-17	7.855538E-04
6.38850	1.120000E-03	1.613850E-17	7.855538E-04
6.38860	3.830000E-03	1.627241E-17	7.855538E-04
6.38870	2.660000E-03	1.244494E-17	7.855538E-04
6.38880	2.420000E-03	1.609079E-17	7.855538E-04
6.38890	2.830000E-03	1.721940E-17	7.855538E-04
6.38900	7.195150E-04	1.705802E-17	7.855538E-04
6.38910	1.252770E-04	1.812924E-17	7.855538E-04
6.38920	-3.415920E-04	1.336915E-17	7.855538E-04
6.38930	1.340000E-03	1.515712E-17	7.855538E-04
6.38940	4.870000E-03	1.713760E-17	7.855538E-04
6.38950	2.276760E-04	1.333090E-17	7.855538E-04
6.38960	3.560000E-03	6.775761E-18	7.855538E-04
6.38970	1.020000E-03	9.951674E-20	7.855538E-04
6.38980	6.200000E-03	9.566555E-19	7.855538E-04
6.38990	3.260000E-03	3.830963E-18	7.855538E-04
6.39000	1.830000E-03	1.955306E-18	7.855538E-04
6.39010	1.887020E-04	1.888758E-18	9.160361E-04
6.39020	1.770000E-03	3.837216E-18	1.039997E-03
6.39030	1.700000E-03	3.820394E-18	1.153026E-03
6.39040	4.320000E-03	6.589968E-18	1.252319E-03
6.39050	2.030000E-03	5.784413E-18	1.336827E-03
6.39060	2.090000E-03	4.384315E-20	1.407081E-03
6.39070	2.580000E-03	-2.657530E-20	1.464770E-03
6.39080	5.680000E-03	1.894790E-18	1.512238E-03
6.39090	5.000000E-03	9.460949E-19	1.551999E-03
6.39100	5.130000E-03	-2.974863E-22	1.586384E-03
6.39110	1.610000E-03	2.768805E-20	1.617331E-03
6.39120	5.010000E-03	-6.457029E-18	1.646318E-03
6.39130	3.580000E-03	-9.544222E-18	1.674386E-03
6.39140	6.630000E-03	-1.971461E-18	1.702227E-03
6.39150	4.760000E-03	2.838574E-18	1.730271E-03
6.39160	4.080000E-03	9.125886E-20	1.758778E-03
6.39170	4.090000E-03	-3.795238E-18	1.787899E-03
6.39180	4.760000E-03	-4.715650E-18	1.817725E-03
6.39190	2.000000E-03	-7.522517E-18	1.848315E-03
6.39200	4.950000E-03	-5.742286E-18	1.879711E-03
6.39210	9.130000E-03	-1.862786E-18	1.911950E-03
6.39220	6.290000E-03	-2.793023E-18	1.945067E-03
6.39230	5.120000E-03	-9.899381E-19	1.979097E-03
6.39240	7.700000E-03	2.835150E-18	2.014073E-03
6.39250	4.360000E-03	1.011225E-18	2.050034E-03
6.39260	3.900000E-03	-6.532579E-18	2.087019E-03
6.39270	7.360000E-03	-5.806821E-18	2.125068E-03
6.39280	4.770000E-03	-9.236871E-19	2.164224E-03
6.39290	5.820000E-03	1.834494E-18	2.204532E-03
6.39300	5.070000E-03	1.522211E-19	2.246041E-03
6.39310	7.540000E-03	-3.800526E-18	2.288799E-03
6.39320	8.450000E-03	-4.654093E-18	2.332860E-03
6.39330	6.340000E-03	-5.698443E-18	2.378280E-03
6.39340	4.740000E-03	-3.774100E-18	2.425117E-03
6.39350	8.330000E-03	-4.729048E-18	2.473435E-03
6.39360	5.750000E-03	-4.742523E-18	2.523298E-03
6.39370	4.590000E-03	9.160874E-19	2.574776E-03
6.39380	6.990000E-03	1.036728E-16	2.627943E-03
6.39390	2.890000E-03	1.118078E-15	2.682877E-03
6.39400	6.870000E-03	9.802236E-15	2.739661E-03
6.39410	6.940000E-03	7.395448E-14	2.798383E-03
6.39420	7.080000E-03	4.823046E-13	2.859136E-03
6.39430	9.340000E-03	2.726677E-12	2.922020E-03
6.39440	4.750000E-03	1.339349E-11	2.987140E-03
6.39450	8.420000E-03	5.731430E-11	3.054609E-03
6.39460	6.180000E-03	2.143937E-10	3.124547E-03
6.39470	4.700000E-03	7.040574E-10	3.197082E-03
6.39480	8.510000E-03	2.040850E-09	3.272351E-03
6.39490	8.730000E-03	5.257439E-09	3.350501E-03
6.39500	8.200000E-03	1.213739E-08	3.431687E-03
6.39510	7.110000E-03	2.536231E-08	3.516078E-03
6.39520	9.500000E-03	4.851673E-08	3.603854E-03
6.39530	4.300000E-03	8.600184E-08	3.695208E-03
6.39540	4.160000E-03	1.429717E-07	3.790349E-03
6.39550	6.190000E-03	2.253254E-07	3.889501E-03
6.39560	3.970000E-03	3.396381E-07	3.992904E-03
6.39570	6.230000E-03	4.928674E-07	4.100821E-03
6.39580	6.890000E-03	6.917604E-07	4.213534E-03
6.39590	8.020000E-03	9.419925E-07	4.331347E-03
6.39600	3.460000E-03	1.247180E-06	4.454593E-03
6.39610	4.550000E-03	1.608192E-06	4.583632E-03
6.39620	5.720000E-03	2.023527E-06	4.718855E-03
6.39630	6.810000E-03	2.491349E-06	4.860691E-03
6.39640	6.000000E-03	3.012734E-06	5.009606E-03
6.39650	8.850000E-03	3.594492E-06	5.166110E-03
6.39660	9.020000E-03	4.249814E-06	5.330764E-03
6.39670	9.530000E-03	4.996084E-06	5.504184E-03
6.39680	9.690000E-03	5.850708E-06	5.687049E-03
6.39690	8.590000E-03	6.826496E-06	5.880106E-03
6.39700	4.840000E-03	7.928168E-06	6.084186E-03
6.39710	7.200000E-03	9.151254E-06	6.300208E-03
6.39720	9.020000E-03	1.048409E-05	6.529197E-03
6.39730	7.990000E-03	1.191228E-05	6.772296E-03
6.39740	9.910000E-03	1.342356E-05	7.030787E-03
6.39750	1.193000E-02	1.501074E-05	7.306110E-03
6.39760	9.460000E-03	1.667196E-05	7.599888E-03
6.39770	1.298000E-02	1.840893E-05	7.913962E-03
