# field[T]	exp	pyd	dopa
6.38472	0.000000E+00	1.793852E-20	7.657633E-04
6.38482	-1.325071E-03	1.793852E-20	7.657633E-04
6.38492	-1.911506E-03	1.793852E-20	7.657633E-04
6.38502	-1.070920E-02	1.793852E-20	7.657633E-04
6.38512	2.371940E-03	1.793852E-20	7.657633E-04
6.38522	-3.840676E-03	1.793852E-20	7.657633E-04
6.38532	-6.223803E-03	1.793852E-20	7.657633E-04
6.38542	-5.554349E-03	1.793852E-20	7.657633E-04
6.38552	-2.944538E-03	1.793852E-20	7.657633E-04
6.38562	4.581962E-03	1.793852E-20	7.657633E-04
6.38572	2.347211E-03	1.793852E-20	7.657633E-04
6.38582	3.065828E-03	1.793852E-20	7.657633E-04
6.38592	2.493525E-04	1.793852E-20	7.657633E-04
6.38602	-3.007538E-03	1.793852E-20	7.657633E-04
6.38612	1.558821E-03	1.793852E-20	7.657633E-04
6.38622	1.412801E-03	1.793852E-20	7.657633E-04
6.38632	-1.329782E-03	1.793852E-20	7.657633E-04
6.38642	-1.511718E-03	1.793852E-20	7.657633E-04
6.38652	-1.340969E-03	1.793852E-20	7.657633E-04
6.38662	-1.927109E-03	1.793852E-20	7.657633E-04
6.38672	2.144961E-03	1.793852E-20	7.657633E-04
6.38682	1.111930E-03	1.793852E-20	7.657633E-04
6.38692	3.130890E-03	1.793852E-20	7.657633E-04
6.38702	4.806585E-03	1.793852E-20	7.657633E-04
6.38712	3.807115E-03	1.793852E-20	7.657633E-04
6.38722	4.505714E-03	1.793852E-20	7.657633E-04
6.38732	4.056467E-03	1.793852E-20	7.657633E-04
6.38742	4.766253E-03	-1.740853E-18	7.657633E-04
6.38752	4.957021E-03	2.279640E-18	7.657633E-04
6.38762	-4.689711E-03	5.241996E-18	7.657633E-04
6.38772	-1.462259E-03	3.910368E-18	7.657633E-04
6.38782	2.030442E-03	2.083364E-18	7.657633E-04
6.38792	-1.875590E-03	3.428603E-18	7.657633E-04
6.38802	4.739169E-03	2.862055E-18	7.657633E-04
6.38812	6.585319E-03	1.857192E-18	7.657633E-04
6.38822	1.967441E-03	5.827860E-18	7.657633E-04
6.38832	8.869824E-03	6.122498E-18	7.657633E-04
6.38843	2.355159E-06	5.710846E-18	7.657633E-04
6.38853	1.100448E-03	7.507564E-18	7.657633E-04
6.38863	6.632717E-03	6.340755E-18	7.657633E-04
6.38873	6.322719E-03	5.103978E-18	7.657633E-04
6.38883	-6.104867E-03	7.921410E-18	7.657633E-04
6.38893	5.783682E-03	6.515255E-18	7.657633E-04
6.38903	5.289393E-03	8.138948E-18	7.657633E-04
6.38913	4.627005E-03	7.103206E-18	7.657633E-04
6.38923	9.545755E-03	5.288912E-18	7.657633E-04
6.38933	3.719385E-03	7.339669E-18	7.657633E-04
6.38943	4.067654E-03	6.883258E-18	7.657633E-04
6.38953	-2.708433E-05	5.262138E-18	7.657633E-04
6.38963	4.972919E-03	1.795810E-18	7.657633E-04
6.38973	7.045753E-03	-3.968363E-19	7.657633E-04
6.38983	3.135600E-03	1.076378E-18	7.657633E-04
6.38993	5.399497E-03	1.630456E-18	7.657633E-04
6.39003	3.732927E-03	3.873148E-19	8.011121E-04
6.39013	3.714969E-03	1.261936E-18	9.267820E-04
6.39023	9.943188E-03	1.641437E-18	1.044857E-03
6.39033	8.162099E-03	1.626642E-18	1.151361E-03
6.39043	8.546284E-03	3.511344E-18	1.244240E-03
6.39053	4.343797E-03	1.539463E-18	1.322797E-03
6.39063	6.201429E-03	-4.482191E-19	1.387823E-03
6.39073	-2.142606E-03	4.614421E-19	1.441283E-03
6.39083	-5.392726E-03	8.027158E-19	1.485454E-03
6.39093	1.014308E-02	1.681472E-19	1.522751E-03
6.39103	8.466797E-04	3.399709E-21	1.555315E-03
6.39113	5.552288E-03	1.538264E-20	1.584975E-03
6.39123	9.395319E-03	-4.455608E-18	1.613020E-03
6.39133	9.642316E-03	-3.111064E-18	1.640342E-03
6.39143	9.801878E-03	1.377627E-19	1.667596E-03
6.39153	9.222215E-03	1.459910E-18	1.695126E-03
6.39163	7.405209E-03	-9.509669E-19	1.723125E-03
6.39173	9.128008E-03	-1.623648E-18	1.751780E-03
6.39183	1.425342E-02	-2.261482E-18	1.781142E-03
6.39193	1.866464E-03	-3.716295E-18	1.811235E-03
6.39203	9.790691E-03	-1.442083E-18	1.842158E-03
6.39213	1.582343E-02	-7.950828E-19	1.873917E-03
6.39223	1.127297E-02	-1.450323E-18	1.906512E-03
6.39233	9.399735E-03	3.455860E-19	1.940042E-03
6.39243	8.934885E-03	1.469680E-18	1.974512E-03
6.39253	1.725419E-02	-3.475914E-19	2.009922E-03
6.39263	5.859930E-03	-4.093434E-18	2.046381E-03
6.39273	1.364255E-02	-9.092672E-19	2.083895E-03
6.39283	4.909918E-03	-6.547999E-19	2.122467E-03
6.39293	1.071597E-02	1.844347E-18	2.162221E-03
6.39303	7.917456E-03	-1.531372E-18	2.203165E-03
