HAT_type,barrier_kcal_per_mol
DOPA_R_educt,27.378948
DOPA_R_educt,38.274895
DOPA_R_educt,30.362672
DOPA_R_educt,33.101138
DOPA_R_educt,34.035347
DOPA_R_educt,35.285627
DOPA_R_educt,29.335248
DOPA_R_educt,31.410402
DOPA_R_educt,33.769979
DOPA_R_educt,30.104761
DOPA_R_educt,32.627067
DOPA_R_educt,25.387426
DOPA_R_educt,31.947692
DOPA_R_educt,29.297817
DOPA_R_educt,30.837388
DOPA_R_educt,30.875294
DOPA_R_educt,32.094616
DOPA_R_educt,32.643291
DOPA_R_educt,29.516017
DOPA_R_educt,31.860332
DOPA_R_educt,34.275353
DOPA_R_educt,29.105887
DOPA_R_educt,33.100385
DOPA_R_educt,30.377347
DOPA_R_educt,27.113801
DOPA_R_educt,26.697477
DOPA_R_educt,36.883531
DOPA_R_educt,35.734011
DOPA_R_educt,40.556809
DOPA_R_educt,29.712725
DOPA_R_educt,26.544774
DOPA_R_educt,25.365707
DOPA_R_educt,24.136654
DOPA_R_educt,24.193981
DOPA_R_educt,33.916823
DOPA_R_educt,30.539006
DOPA_R_educt,32.674741
DOPA_R_educt,31.498140
DOPA_R_educt,35.307580
DOPA_R_educt,32.230181
DOPA_R_educt,32.014301
DOPA_R_educt,22.896550
DOPA_R_educt,32.522916
DOPA_R_educt,31.020720
DOPA_R_educt,32.318151
DOPA_R_educt,29.638072
DOPA_R_educt,31.582185
DOPA_R_educt-O,30.362672
DOPA_R_educt-O,33.101138
DOPA_R_educt-O,34.035347
DOPA_R_educt-O,35.285627
DOPA_R_educt-O,29.335248
DOPA_R_educt-O,31.410402
DOPA_R_educt-O,33.769979
DOPA_R_educt-O,30.104761
DOPA_R_educt-O,32.627067
DOPA_R_educt-O,25.387426
DOPA_R_educt-O,31.947692
DOPA_R_educt-O,29.297817
DOPA_R_educt-O,30.837388
DOPA_R_educt-O,30.875294
DOPA_R_educt-O,32.094616
DOPA_R_educt-O,32.643291
DOPA_R_educt-O,29.516017
DOPA_R_educt-O,31.860332
DOPA_R_educt-O,34.275353
DOPA_R_educt-O,29.105887
DOPA_R_educt-O,33.100385
DOPA_R_educt-O,30.377347
DOPA_R_educt-O,27.113801
DOPA_R_educt-O,26.697477
DOPA_R_educt-O,29.712725
DOPA_R_educt-O,26.544774
DOPA_R_educt-O,25.365707
DOPA_R_educt-O,24.136654
DOPA_R_educt-O,24.193981
DOPA_R_educt-O,33.916823
DOPA_R_educt-O,30.539006
DOPA_R_educt-O,32.674741
DOPA_R_educt-O,31.498140
DOPA_R_educt-O,35.307580
DOPA_R_educt-O,32.230181
DOPA_R_educt-O,32.014301
DOPA_R_educt-O,22.896550
DOPA_R_educt-O,32.522916
DOPA_R_educt-O,31.020720
DOPA_R_educt-O,32.318151
DOPA_R_educt-O,31.582185
DOPA_R_educt-C,27.378948
DOPA_R_educt-C,38.274895
DOPA_R_educt-C,36.883531
DOPA_R_educt-C,35.734011
DOPA_R_educt-C,40.556809
DOPA_R_educt-C,29.638072
DOPA_R_product,38.253406
DOPA_R_product,34.803113
DOPA_R_product,18.281751
DOPA_R_product,29.886989
DOPA_R_product,18.709640
DOPA_R_product,35.353437
DOPA_R_product,25.690625
DOPA_R_product,21.438870
DOPA_R_product,20.721954
DOPA_R_product,18.671730
DOPA_R_product,28.764759
DOPA_R_product,21.455452
DOPA_R_product,29.603286
DOPA_R_product,29.781069
DOPA_R_product,36.101356
DOPA_R_product,35.968825
DOPA_R_product,37.020806
DOPA_R_product,28.855640
DOPA_R_product,20.118322
DOPA_R_product,29.454789
DOPA_R_product,24.566325
DOPA_R_product,33.543492
